"167","Case Keenum","QB","CHI","-","-","-","-","-","-","BYE","-","-","0","5.4","-","-","3.2","17.1","8.5","9.4","7.3","43.6"
"168","Tevin Coleman","RB","FA","8","9.2","-","-","0.3","2","1.4","2.6","0.3","-","2.8","9","2.2","1.5","2.3","-","-","3.5","41.6"
"169","Jay Ajayi","RB","FA","-","-","-","-","-","-","-","-","4.1","4.8","4.6","7.8","3.2","1.5","10.7","2.3","0.2","4.4","39.2"
"170","Taylor Gabriel","WR","FA","3","0.2","4.3","6.2","9.5","1","1.5","5.2","0.8","3.6","-","-","-","-","2.8","0","0","2.9","38.1"
"171","Phillip Dorsett II","WR","LV","3.5","3","11.3","2.1","1.4","4","1.3","-","-","-","-","-","-","0","0.6","4.1","5.9","3.4","37.2"
"172","Nick Williams","WR","FA","1","1.7","1.1","1.3","1.8","1.6","5.8","-","0","-","-","9.1","7","6","0","0","0","2.6","36.4"
"173","Luke Willson","TE","FA","0","4.6","-","2.5","2.7","2.1","0","11.1","-","0","2.5","1.7","4.6","1.3","2.7","0","-","2.6","35.8"
"174","Damien Williams","RB","FA","0.8","9.5","2.7","0.6","-","0.5","1.9","0","0","0","0","2","1.1","2.1","2.2","4.8","6.4","2.2","34.6"
"175","Ty Montgomery II","RB","FA","0","5.7","8.4","4","13.9","2.5","-","-","-","-","-","-","-","-","-","-","-","5.8","34.5"
"176","Chris Conley","WR","FA","0","0","2.1","6.3","1.1","3.1","15.3","1.1","-","0","2.2","0","0","0","0","0","3.2","2.2","34.4"
"177","Josh Hill","TE","FA","0","0.7","1.5","8.1","0","5.3","0","1","9.1","0","-","0","2.1","1.1","0","2.2","0.9","2","32"
"178","Marcedes Lewis","TE","FA","0","0","0","6.5","0","1.3","2.3","-","3.2","1.4","0","2.9","1.2","1.9","3.1","1.8","5","1.9","30.6"
"179","Justin Hardy","WR","FA","-","-","-","-","-","-","-","3.1","3.7","-","1.2","3.1","4.4","1.4","5.1","2.5","5.4","3.3","29.9"
"180","Patrick DiMarco","RB","FA","0","2.4","0.9","0","0","2.8","0","1.3","0","-","15.6","0","2.8","2.5","0","0","1.2","1.8","29.5"
